Matricula,Periodo de Ingresso,Forma de Ingresso,Curriculo,Estado Civil,Sexo,Idade Aproximada no Ingresso,Cor,Cota,Status,Tipo de Evasao,Periodo de Evasao
111210656,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2014.2
111110092,20111,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,19,Branca,-,INATIVO,GRADUADO,2016.1
113210862,20132,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,19,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2014.2
112110947,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2016.2
112210653,20122,VESTIBULAR  ENEM,1999,Casado,MASCULINO,35,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.1
119110790,20191,TRANSFERENCIA,2017,Solteiro,MASCULINO,32,Branca,-,INATIVO,GRADUADO,2021.2
111110915,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,22,Parda,-,INATIVO,CANCELAMENTO POR ABANDONO,2013.2
120110396,20201,SISU,2017,Solteiro,MASCULINO,30,Branca,-,ATIVO,REGULAR,-
112210068,20122,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2018.1
111210449,20112,VESTIBULAR  ENEM,1999,Casado,MASCULINO,32,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2013.2
111110063,20111,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,GRADUADO,2017.2
119110224,20191,SISU,2017,Solteiro,MASCULINO,23,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2019.1
112110040,20121,VESTIBULAR  ENEM,1999,Casado,MASCULINO,32,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2012.2
111110928,20111,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,20,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2014.2
119210937,20192,TRANSFERENCIA,2017,Solteiro,MASCULINO,28,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2022.2
112110948,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Parda,-,INATIVO,GRADUADO,2019.1
112110874,20121,REOPCAO,1999,Solteiro,MASCULINO,30,Parda,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2013.2
114110430,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2016.2
112110036,20121,VESTIBULAR  ENEM,1999,Casado,MASCULINO,31,Parda,-,INATIVO,GRADUADO,2016.1
121110750,20211,SISU,2017,Solteiro,MASCULINO,20,Parda,L5,ATIVO,REGULAR,-
114111367,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,19,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2015.2
113112301,20131,VESTIBULAR  ENEM,1999,Casado,MASCULINO,27,Parda,L2,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.1
111110129,20111,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,23,Branca,-,INATIVO,CANCELAMENTO POR ABANDONO,2011.2
112210666,20122,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,21,Branca,-,INATIVO,GRADUADO,2017.1
114110473,20141,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,18,Branca,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2015.1
112110101,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,18,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2017.2
113110010,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,24,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2016.2
113210152,20132,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,18,Parda,-,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2014.1
119110108,20191,SISU,2017,Solteiro,MASCULINO,18,Branca,-,INATIVO,GRADUADO,2022.2
112110039,20121,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,24,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2014.1
113112112,20131,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,Parda,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.1
111210441,20112,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,21,Branca,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.2
114110451,20141,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,24,Branca,-,INATIVO,GRADUADO,2017.2
111210943,20112,VESTIBULAR  ENEM,1999,Solteiro,FEMININO,20,Branca,-,INATIVO,CANCELAMENTO P SOLICITACAO ALUNO,2013.2
118210737,20182,SISU,2017,Solteiro,MASCULINO,28,Preta,L2,INATIVO,CANCELADO REPROVOU TODAS POR FALTAS,2023.2
113210160,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,20,N? declarada,-,INATIVO,CANCELADO 3 REPROV MESMA DISCIPLINA,2015.1
113210090,20132,VESTIBULAR  ENEM,1999,Solteiro,MASCULINO,22,Amarela,-,INATIVO,GRADUADO,2017.1
